Id,Neighborhood,GarageType,GarageArea,GarageCars,HouseStyle,YearBuilt,Heating,PoolArea,SalePrice
1,CollgCr,Attchd,548,2,2Story,2003,GasA,0,208500
2,Veenker,Attchd,460,2,1Story,1976,GasA,0,181500
3,CollgCr,Attchd,608,2,2Story,2001,GasA,0,223500
4,Crawfor,Detchd,642,3,2Story,1915,GasA,0,140000
5,NoRidge,Attchd,836,3,2Story,2000,GasA,0,250000
6,Mitchel,Attchd,480,2,1.5Fin,1993,GasA,0,143000
7,Somerst,Attchd,636,2,1Story,2004,GasA,0,307000
8,NWAmes,Attchd,484,2,2Story,1973,GasA,0,200000
9,OldTown,Detchd,468,2,1.5Fin,1931,GasA,0,129900
10,BrkSide,Attchd,205,1,1.5Unf,1939,GasA,0,118000
11,Sawyer,Detchd,384,1,1Story,1965,GasA,0,129500
12,NridgHt,BuiltIn,736,3,2Story,2005,GasA,0,345000
13,Sawyer,Detchd,352,1,1Story,1962,GasA,0,144000
14,CollgCr,Attchd,840,3,1Story,2006,GasA,0,279500
15,NAmes,Attchd,352,1,1Story,1960,GasA,0,157000
16,BrkSide,Detchd,576,2,1.5Unf,1929,GasA,0,132000
17,NAmes,Attchd,480,2,1Story,1970,GasA,0,149000
18,Sawyer,CarPort,516,2,1Story,1967,GasA,0,90000
19,SawyerW,Detchd,576,2,1Story,2004,GasA,0,159000
20,NAmes,Attchd,294,1,1Story,1958,GasA,0,139000
21,NridgHt,BuiltIn,853,3,2Story,2005,GasA,0,325300
22,IDOTRR,Attchd,280,1,1.5Unf,1930,GasA,0,139400
23,CollgCr,Attchd,534,2,1Story,2002,GasA,0,230000
24,MeadowV,Attchd,572,2,1Story,1976,GasA,0,129900
25,Sawyer,Attchd,270,1,1Story,1968,GasA,0,154000
26,NridgHt,Attchd,890,3,1Story,2007,GasA,0,256300
27,NAmes,Detchd,576,2,1Story,1951,GasA,0,134800
28,NridgHt,Attchd,772,3,1Story,2007,GasA,0,306000
29,NAmes,Attchd,319,1,1Story,1957,GasA,0,207500
30,BrkSide,Detchd,240,1,1Story,1927,GasA,0,68500
31,IDOTRR,Detchd,250,1,2Story,1920,GasA,0,40000
32,Sawyer,Attchd,271,1,1Story,1966,GasA,0,149350
33,CollgCr,Attchd,484,2,1Story,2007,GasA,0,179900
34,NAmes,Attchd,447,2,1Story,1959,GasA,0,165500
35,NridgHt,Attchd,556,2,1Story,2005,GasA,0,277500
36,NridgHt,BuiltIn,691,3,2Story,2004,GasA,0,309000
37,CollgCr,Attchd,672,2,1Story,1994,GasA,0,145000
38,NAmes,Attchd,498,2,1Story,1954,GasA,0,153000
39,NAmes,Detchd,246,1,1Story,1953,GasA,0,109000
40,Edwards,None,0,0,1Story,1955,GasA,0,82000
